,id_no,image_url,shown_price,model_year,car_title,msrp,city_mpg,combination_mpg,cylinders,displacement,highway_mpg,is_gas,is_electric,is_fuel_cell,is_automatic,is_manual,is_awd,is_rwd,is_fwd,is_4wd,horsepower,is_standard_suv,is_small_suv,is_midsize,is_subcompact,is_compact,is_two_seater,is_minivan,is_small_pickup,is_standard_pickup,monthly_lease,monthly_finance,lease_term,finance_term
0,0,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/4runner/base.png?bg=fff&fmt=webp&qlt=90&wid=345,55035.0,2025,4Runner,40770.0,16,17,6,4.0,19,1,0,0,1,0,0,1,0,0,290.0,1,0,0,0,0,0,0,0,0,858.55,1038.58,36,60
1,1,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/4runnerhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,66900.0,2025,4Runner i-FORCE MAX,51990.0,16,17,6,4.0,19,1,1,0,1,0,0,1,0,0,89.0,1,0,0,0,0,0,0,0,0,1043.64,1262.49,36,60
2,2,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/bz4x/base.png?bg=fff&fmt=webp&qlt=90&wid=345,50385.0,2024,bZ4X,43070.0,114,104,-1,-1.0,94,0,1,0,1,0,1,0,0,0,148.0,0,1,0,0,0,0,0,0,0,786.01,950.83,36,60
3,3,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/bz4x/base.png?bg=fff&fmt=webp&qlt=90&wid=345,41395.0,2025,bZ4X,37070.0,114,104,-1,-1.0,94,0,1,0,1,0,1,0,0,0,148.0,0,1,0,0,0,0,0,0,0,645.76,781.17,36,60
4,4,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/camry/base.png?bg=fff&fmt=webp&qlt=90&wid=345,35825.0,2025,Camry,28700.0,22,26,6,3.5,33,1,1,0,1,0,0,0,1,0,93.0,0,0,1,0,0,0,0,0,0,558.87,676.06,36,60
5,5,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/corolla/base.png?bg=fff&fmt=webp&qlt=90&wid=345,25490.0,2024,Corolla,22050.0,21,24,3,1.6,28,1,0,0,0,1,1,0,0,0,125.0,0,0,0,1,0,0,0,0,0,397.64,481.03,36,60
6,6,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/corolla/base.png?bg=fff&fmt=webp&qlt=90&wid=345,27150.0,2025,Corolla,22325.0,21,24,3,1.6,28,1,0,0,0,1,1,0,0,0,125.0,0,0,0,1,0,0,0,0,0,423.54,512.35,36,60
7,7,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/corollacross/base.png?bg=fff&fmt=webp&qlt=90&wid=345,29385.0,2024,Corolla Cross,23860.0,31,32,4,2.0,33,1,0,0,1,0,0,0,1,0,160.0,0,1,0,0,0,0,0,0,0,458.41,554.53,36,60
8,8,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/corollacross/base.png?bg=fff&fmt=webp&qlt=90&wid=345,28735.0,2025,Corolla Cross,24035.0,31,32,4,2.0,33,1,0,0,1,0,0,0,1,0,160.0,0,1,0,0,0,0,0,0,0,448.27,542.26,36,60
9,9,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/corollacrosshybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,30965.0,2024,Corolla Cross Hybrid,28220.0,45,42,4,2.0,38,1,1,0,1,0,1,0,0,0,107.0,0,1,0,0,0,0,0,0,0,483.05,584.35,36,60
10,10,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/corollacrosshybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,32055.0,2025,Corolla Cross Hybrid,28395.0,45,42,4,2.0,38,1,1,0,1,0,1,0,0,0,107.0,0,1,0,0,0,0,0,0,0,500.06,604.92,36,60
11,11,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/corollahatchback/base.png?bg=fff&fmt=webp&qlt=90&wid=345,27080.0,2025,Corolla Hatchback,23780.0,32,35,4,2.0,41,1,0,0,1,0,0,0,1,0,160.0,0,0,0,0,1,0,0,0,0,422.45,511.03,36,60
12,12,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/corollahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,28340.0,2024,Corolla Hybrid,23500.0,53,50,4,1.8,46,1,1,0,1,0,0,0,1,0,111.0,0,0,0,0,1,0,0,0,0,442.1,534.81,36,60
13,13,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/corollahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,27665.0,2025,Corolla Hybrid,23825.0,53,50,4,1.8,46,1,1,0,1,0,0,0,1,0,111.0,0,0,0,0,1,0,0,0,0,431.57,522.07,36,60
14,14,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/grcorolla/base.png?bg=fff&fmt=webp&qlt=90&wid=345,47990.0,2025,GR Corolla,38860.0,21,24,3,1.6,28,1,0,0,0,1,1,0,0,0,125.0,0,0,0,1,0,0,0,0,0,748.64,905.63,36,60
15,15,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/grsupra/base.png?bg=fff&fmt=webp&qlt=90&wid=345,61020.0,2025,GR Supra,56250.0,25,27,4,2.0,31,1,0,0,1,0,0,1,0,0,160.0,0,0,0,0,0,1,0,0,0,951.91,1151.52,36,60
16,16,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/gr86/base.png?bg=fff&fmt=webp&qlt=90&wid=345,35270.0,2025,GR86,31895.0,20,22,4,2.4,27,1,0,0,0,1,0,1,0,0,180.0,0,0,0,1,0,0,0,0,0,550.21,665.59,36,60
